Age,Gender,Attendance,Study_Hours,Previous_Grade,Assignments_Submitted,Family_Income,Internet_Access,Parental_Education,Distance_From_College,Scholarship,Extracurricular,Semester,CGPA,Backlogs,Dropout
23,Female,45,7,86,4,53618,No,Graduate,7,No,Yes,3,7.68,5,1
20,Male,56,7,51,7,93948,Yes,School,4,Yes,Yes,3,4.53,4,1
24,Male,98,6,93,6,72671,No,School,20,No,Yes,6,6.35,5,0
21,Male,64,3,60,7,57111,Yes,Graduate,18,No,No,1,8.28,3,0
23,Male,96,5,93,6,49613,Yes,School,21,Yes,No,6,7.96,0,0
19,Female,67,2,50,2,95678,Yes,Graduate,4,Yes,Yes,6,7.75,3,1
23,Female,41,4,78,1,69993,No,Graduate,28,Yes,Yes,5,5.7,1,1
24,Male,74,7,67,6,18848,Yes,Graduate,13,No,No,6,6.27,2,0
21,Male,76,5,44,2,88672,Yes,School,1,Yes,Yes,8,4.62,5,1
20,Male,44,4,56,2,76125,Yes,Graduate,28,No,No,7,8.31,4,1
24,Male,40,4,95,1,96444,No,School,24,No,Yes,6,7.02,0,0
24,Male,79,2,59,3,71602,Yes,Graduate,3,No,No,5,8.25,4,1
19,Male,51,6,80,7,82045,No,Graduate,16,No,No,7,5.49,4,1
22,Female,95,3,85,0,52222,Yes,Postgraduate,22,No,No,3,5.95,4,1
21,Male,75,2,97,0,59223,No,Postgraduate,4,Yes,No,2,6.01,5,1
18,Female,84,5,51,4,75333,Yes,Postgraduate,25,Yes,Yes,4,4.15,0,0
24,Female,62,6,45,4,62732,Yes,School,23,No,Yes,6,6.05,0,0
22,Male,86,5,56,0,59420,No,School,25,No,No,8,8.82,4,0
18,Female,70,6,90,5,85504,No,Graduate,16,Yes,No,7,9.38,2,0
21,Female,50,7,58,0,12462,Yes,Graduate,26,Yes,No,2,7.11,5,1
17,Female,49,5,65,4,19460,No,Graduate,19,No,No,5,6.73,5,1
22,Female,42,2,87,8,19275,Yes,Graduate,1,No,Yes,2,4.18,3,1
25,Female,93,6,83,4,23269,Yes,School,5,Yes,No,4,9.28,5,0
17,Female,53,6,83,5,75942,Yes,Graduate,19,Yes,No,8,4.08,4,1
19,Male,55,4,91,7,82920,No,Graduate,22,No,No,2,9.67,1,0
23,Female,49,4,71,0,32553,Yes,Postgraduate,24,Yes,No,8,6.94,4,1
20,Female,68,1,45,1,34366,No,Graduate,11,Yes,No,7,6.05,0,0
25,Female,49,5,94,8,54036,Yes,Graduate,13,No,No,2,9.55,5,1
19,Male,51,4,97,2,27369,No,Graduate,20,No,No,8,4.15,5,1
21,Female,69,1,75,5,21795,No,School,5,No,Yes,2,7.49,3,1
19,Male,80,7,77,4,80021,Yes,Postgraduate,21,Yes,No,2,7.29,1,0
23,Female,40,7,50,1,78154,No,Graduate,4,No,No,1,5.32,5,1
21,Male,44,4,72,6,40143,Yes,Graduate,4,Yes,No,6,6.57,3,1
25,Male,59,5,63,3,39425,Yes,Postgraduate,4,No,Yes,5,7.91,3,1
23,Female,47,6,62,0,98209,Yes,Graduate,4,No,Yes,4,8.36,1,0
18,Female,82,3,54,3,85139,Yes,School,20,Yes,Yes,5,4.0,4,1
20,Male,51,5,66,5,15368,Yes,Graduate,21,Yes,No,1,9.62,4,1
25,Female,40,2,50,6,14621,No,School,18,No,No,1,4.99,4,1
18,Male,96,7,96,6,68829,Yes,School,18,No,No,7,5.4,2,0
25,Male,93,4,90,6,70294,No,Graduate,16,Yes,Yes,1,5.58,4,1
21,Male,59,4,89,2,24719,No,Postgraduate,9,No,No,6,4.23,1,1
18,Male,67,6,56,5,39227,Yes,School,18,Yes,Yes,1,4.74,2,0
20,Male,96,2,90,7,17566,No,Postgraduate,22,Yes,Yes,2,9.92,4,1
23,Female,82,6,92,3,22306,Yes,Graduate,2,No,Yes,5,5.89,2,0
24,Male,76,2,53,7,63822,No,School,21,Yes,Yes,3,4.69,1,1
